pIC50,Molecular flexibility,Shadow ratio ,Molecular surface area ,Total dipole ,Dipole x ,Dipole y ,Dipole z ,Rotatable bonds,Hydrogen bond acceptor,AlogP,AlogP98,Molecular refractivity,Zagreb index,E-state keys (sums): S_ssCH2,E-state keys (sums): S_aaCH,E-state keys (sums): S_aasC,E-state keys (sums): S_dO,Molecular area (vdW area) ,Molecular volume (vdW volume) ,Molecular density ,Principal moments of inertia (magnitude) ,Principal moment of inertia X ,Principal moment of inertia Y ,Principal moment of inertia Z ,Radius of gyration ,Shadow area: XY plane ,Shadow area: YZ plane ,Shadow area: ZX plane ,Shadow area fraction: XY plane ,Shadow area fraction: YZ plane ,Shadow area fraction: ZX plane ,Shadow length: LX ,Shadow length: LY ,Shadow length: LZ ,MW
5.38721614,2.052857,2.24567949,229.089611,9.629,-9.249,1.138,-2.423,3,3,0.6974,1.1322,55.372803,72,-0.20088,7.255517,1.611111,22.078457,228.4351568,186.1944268,1.37554598,2.44E+03,603.962676,1.41E+03,1.90E+03,3.40670533,65.07975714,29.42808304,43.67299045,0.63221061,0.64198606,0.62131519,12.56389692,8.19331742,5.59469728,256.12
5.45593196,2.513069,1.91398156,253.619828,8.622,-4.326,-4.059,-6.258,4,3,0.8787,1.3804,60.072208,76,0.323735,7.440727,1.766923,22.162455,256.1718527,204.079907,1.32372657,2.67E+03,633.5586632,1.66E+03,1.99E+03,3.58127768,67.77806332,34.69097833,46.43112282,0.62357955,0.61088154,0.55729167,12.6279308,8.60726354,6.59772855,270.14
5.88605665,2.649209,3.83532705,295.928206,10.037,-9.005,4.349,-0.856,3,3,2.535701,2.8571,75.824203,102,0,13.94108,2.762714,23.040947,294.4231005,247.5616533,1.28529596,6.18E+03,647.3138465,4.04E+03,4.64E+03,4.46438351,93.73757441,25.25920106,48.89989782,0.72349398,0.74772727,0.68729463,16.51899803,7.84323253,4.30706373,318.19
5.82390874,2.610338,3.47279193,290.018155,7.131,1.662,6.902,0.67,1,3,2.7909,3.1217,76.390495,102,0,13.601174,2.271267,33.800064,289.3041977,242.3047685,1.31725841,5.35E+03,777.8474697,3.36E+03,4.09E+03,4.20186157,92.26356545,27.73279105,45.11268961,0.67445887,0.7040404,0.67119244,15.27795452,8.95384449,4.39932907,319.17
6.13076828,2.028396,2.22372703,260.58314,7.351,-7.166,-0.717,-1.473,2,2,1.8113,2.416,64.022606,86,0.569954,13.169422,2.836707,12.022854,259.8653197,214.3871714,1.29750765,3.28E+03,562.6486465,2.10E+03,2.46E+03,3.8308838,73.44150321,33.9692687,52.56720388,0.59314981,0.61008523,0.5840669,14.14708224,8.75205998,6.36187897,278.17
5.28399666,1.997188,3.4834796,255.935258,6.378,-6.28,0.988,0.521,1,1,2.837301,3.2273,69.065796,86,0,17.687305,3.012876,12.13873,255.2802414,216.2577622,1.26784348,3.37E+03,577.769365,2.05E+03,2.61E+03,3.98386967,81.33350989,23.80437511,41.98686562,0.72934473,0.74358974,0.71230159,14.32951222,7.78225144,4.11356284,274.18
5.18045606,1.108056,2.69683272,167.15843,4.776,-4.245,2.187,-0.093,0,2,1.3763,1.3753,41.048401,52,0,7.540648,1.805555,10.933565,165.6595837,133.286727,1.13426897,997.3988493,312.4277219,495.0879596,807.5155078,2.66407584,50.99731058,21.03549483,26.15377229,0.67870225,0.75498575,0.74829932,9.70859755,7.73947472,3.5999999,151.19
5.1079054,1.323357,2.61492629,189.660004,4.442,-3.714,1.895,1.534,0,2,1.6228,1.5812,45.945107,58,0,7.643148,1.875,11.30162,189.0833207,150.9505537,1.09446434,1.25E+03,315.9649242,683.9984223,996.4156987,3.0649521,56.75660956,22.32570946,31.4851787,0.68632075,0.70595238,0.73495058,10.58409519,7.81331934,4.04756924,165.21
5.13667714,2.185477,2.64076985,228.089365,3.955,-3.465,1.659,-0.94,2,2,2.4339,2.4537,55.217308,66,1.838203,7.759112,1.932315,11.691759,225.1411947,184.4570637,1.04774517,2.07E+03,343.6641948,1.27E+03,1.60E+03,3.59586146,66.42855235,24.75533615,41.87698647,0.65846154,0.648,0.66338462,12.91130944,7.81365238,4.88922176,193.27
5.38721614,2.159852,2.56759974,219.47185,6.073,-4.762,3.207,-1.98,3,3,1.1797,1.0418,52.237408,66,0.393759,7.470847,1.710092,11.580648,217.699652,176.9966762,1.10304895,2.12E+03,340.7863761,1.31E+03,1.63E+03,3.41883213,64.49240499,24.58020816,39.56349038,0.65195313,0.638,0.633125,12.66678006,7.80954931,4.93331568,195.24
5.20065945,2.02216,2.44349648,229.130658,4.243,-3.74,1.787,-0.909,2,2,2.3634,2.198,55.107811,66,0.595417,7.63886,1.836759,11.643982,226.8734484,181.4288427,1.05412125,2.06E+03,343.3524735,1.28E+03,1.57E+03,3.59453936,63.65224896,26.89363839,43.61425616,0.63286713,0.65337132,0.62906846,13.01580811,7.72734093,5.3267145,191.25
5.88605665,2.227937,3.06934877,266.047587,3.795,-1.65,2.879,-1.842,1,2,2.521301,2.4112,70.423111,92,0,14.963213,3.070705,12.198938,264.8383556,223.9282918,1.08202494,3.36E+03,521.6656072,2.11E+03,2.56E+03,3.9413217,82.32895802,28.21584164,47.6303854,0.71104336,0.74796748,0.71354167,14.31381826,8.08911547,4.66347076,242.3
5.76955108,2.533474,2.76243465,243.955831,3.015,-2.857,-0.47,0.841,2,2,3.399401,3.1647,70.557693,90,0.651806,17.790897,3.016683,12.106188,239.0156353,206.1646111,1.17046274,2.91E+03,467.0615622,1.82E+03,2.23E+03,3.62339566,75.57652778,28.55033851,43.7064168,0.66142271,0.69023256,0.65647059,13.56160127,8.42552288,4.90929306,241.31
5.48148606,2.335856,3.78371048,273.89957,3.836,-2.737,2.684,0.128,1,2,3.771701,3.644,70.763916,92,0,15.703554,3.94524,12.1872,273.1246999,229.183833,1.05290148,4.02E+03,424.1538441,2.61E+03,3.03E+03,4.33891352,86.52194782,22.47802874,45.86012124,0.72664474,0.71428571,0.75125313,15.19789361,7.83467085,4.01666399,241.31
5.40893539,2.49798,3.69135055,268.188529,5.474,-2.188,4.998,0.445,1,3,3.8225,3.8222,70.527512,92,0,14.876182,3.267046,12.154213,268.862863,225.7494421,1.15936497,5.08E+03,436.5256288,3.37E+03,3.77E+03,3.9985734,85.17413921,24.13399987,45.23261263,0.70909091,0.74166667,0.70748299,15.3624499,7.81889455,4.16174234,261.73
5.95860732,2.216459,2.12544781,260.701269,5.78,-5.538,1.446,-0.804,2,3,1.9446,2.4009,61.484009,86,0.588472,13.142148,1.816585,11.999729,259.2128259,212.7183649,1.09194614,2.96E+03,508.6863746,1.96E+03,2.16E+03,3.65336378,69.84755344,35.98893662,52.23801495,0.63055954,0.69054878,0.60202206,13.58039347,8.15666722,6.38942693,231.27
5.38721614,3.466379,2.09461787,308.374453,4.188,-3.846,1.421,-0.851,4,2,4.0474,3.9421,79.913292,98,2.810855,18.219809,3.246372,12.144198,308.023097,260.7659167,1.03296473,4.85E+03,717.6512746,3.37E+03,3.42E+03,4.1660219,73.44532706,42.20034499,75.79929342,0.57631258,0.69360902,0.66025641,15.50703146,8.21821321,7.40327468,269.36
5.30980392,2.113089,3.76374673,251.872885,4.127,-3.025,2.8,0.207,1,2,3.304501,3.1578,65.72271,86,0,17.390453,2.737413,12.102272,250.5345636,211.8147703,1.0730177,3.19E+03,422.3705675,2.02E+03,2.43E+03,3.96915195,80.77165778,22.16141238,40.57967548,0.72118056,0.74473684,0.75,14.2703245,7.84840018,3.79152093,227.28
5.63827216,3.05155,2.55361671,266.781866,5.726,-0.418,5.574,-1.24,4,3,2.1608,2.745,63.459908,80,1.435421,7.222292,1.428978,23.501905,267.8246972,218.4286713,1.08176731,3.12E+03,607.504364,1.89E+03,2.40E+03,3.85848423,77.16680393,31.36476843,49.68351269,0.63937111,0.66362126,0.638833,14.09257425,8.56420732,5.51867248,236.29
5.04095861,3.583838,2.53518967,283.518853,5.641,-0.496,5.454,-1.351,5,3,2.5571,3.2012,68.060921,84,2.544642,7.244637,1.436373,23.687376,284.6215805,233.984589,1.06979694,3.71E+03,647.3736513,2.34E+03,2.81E+03,4.0139292,78.9160158,33.61585874,54.47505311,0.62192875,0.67163009,0.6444548,14.63887925,8.66795586,5.77427378,250.32
5.4202164,2.924294,1.52558304,281.402285,5.349,0.055,5.302,0.706,4,4,2.0054,2.6378,68.922096,100,0.256467,12.181818,1.989636,23.971285,280.1111041,241.0946549,1.13770252,2.92E+03,1.07E+03,1.67E+03,2.15E+03,3.41095492,71.73407567,45.73744331,56.58121252,0.59869281,0.58235294,0.60166667,11.97777293,10.00334824,7.85127561,274.3
5.18708664,2.02216,2.54164192,230.064618,6.452,-5.919,2.555,-0.27,3,2,0.7125,1.1113,55.580509,66,0.495032,7.631911,1.920741,11.617105,229.9820637,182.1749361,1.32914001,2.33E+03,482.1054745,1.38E+03,1.82E+03,3.48014768,64.83815881,26.96681029,40.47715335,0.65584936,0.69329389,0.63221154,12.75648301,7.74989147,5.01899299,242.13
5.58502665,2.610338,3.69741517,289.874036,13.059,-4.077,12.314,1.514,1,3,2.7909,3.1217,76.390495,102,0,13.568913,2.492051,33.434238,288.7006047,242.8095308,1.31452004,6.17E+03,640.9649137,4.03E+03,4.63E+03,4.29636216,91.79454988,24.9666602,46.95877865,0.74240506,0.74659091,0.69965478,15.75308456,7.8489284,4.26056687,319.17
5.61978876,3.298332,2.74892963,305.162648,7.397,-2.974,4.788,4.791,3,3,0.7921,1.4771,76.381798,94,5.417599,7.966016,2.121717,12.167792,307.8509114,251.5595743,1.23725362,5.66E+03,571.4519426,3.74E+03,4.21E+03,4.35536772,86.13433933,31.2202457,55.513858,0.68274583,0.68027211,0.65027829,15.31908718,8.23539408,5.57274621,311.24
5.48148606,3.573164,2.74691046,330.587555,2.182,-2.072,0.582,-0.358,5,3,2.0182,2.3999,76.918716,98,0.182963,7.517727,1.777294,23.574545,329.754447,267.4912113,1.22337475,6.17E+03,637.6804257,4.10E+03,4.57E+03,4.65102927,89.77125279,30.88304997,60.04165986,0.67192148,0.63495935,0.61707317,16.34858855,8.17219085,5.95162777,327.24
5.31875876,2.41761,2.27873437,252.341331,4.245,-3.878,1.684,0.378,2,2,2.8367,2.773,59.689102,72,0.817639,7.775174,1.927129,11.837315,251.3650758,202.4205492,1.02406104,2.39E+03,389.2553782,1.50E+03,1.82E+03,3.67219117,69.769185,29.3869653,46.26565279,0.65631929,0.62994113,0.62016719,13.03832512,8.15317332,5.72173978,207.29
5.4436975,3.215109,3.40064866,310.502304,9.628,-3.114,8.839,-2.207,3,4,3.034601,3.0132,77.250198,106,0,14.264256,2.845696,23.666515,307.0530026,260.4579277,1.0954437,6.60E+03,560.0540231,4.40E+03,4.89E+03,4.67778632,96.00657141,26.65078777,52.78422233,0.74814815,0.70625,0.6867284,16.16740969,7.93730212,4.75421347,285.32
